ham,symbol,unicode
hamsymmlr hamfinger2345 hamthumboutmod hamfingerbendmod hamextfingeru hampalml hamshoulders hammovel hamchest hammoveo,basketball,e0e9 e005 e00c e011 e020 e03e e051 e086 e052 e089
hamsymmpar hamparbegin hamfist hamthumbacrossmod hamplus hamfist hamthumbacrossmod hamparend hamparbegin hamextfingero hamplus hamextfingerdr hamparend hamparbegin hampalmu hamplus hampalmd hamparend hamclose hamchest hammovedl hamrepeatfromstartseveral,bat,e0e8 e0e2 e000 e00d e0e7 e000 e00d e0e3 e0e2 e029 e0e7 e023 e0e3 e0e2 e038 e0e7 e03c e0e3 e0d0 e052 e085 e0d9
hamfist hamthumboutmod hamextfingeru hambetween hamextfingerdl hampalmr hamheadtop hamclose hammoved hamplus hamsymmlr hamfinger2 hamthumbacrossmod hamextfingeru hampalmu hamchest hamclose hamcircled hamplus hamsymmlr hamfinger2 hamthumbacrossmod hamextfingeru hampalmd hamtouch hamchest hammoveo,bathroom,e000 e00c e020 e0e6 e025 e03a e041 e0d0 e084 e0e7 e0e9 e002 e00d e020 e038 e052 e0d0 e094 e0e7 e0e9 e002 e00d e020 e03c e0d1 e052 e089
hamfist hamthumboutmod hamextfingeru hampalmdl hamtongue hamlrat hamclose hammovei hamsmallmod hamrepeatfromstart hamplus hamsymmlr hamfingerstraightmod hamlargemod hamalternatingmotion hamfinger2345 hamthumboutmod hamextfingerol hampalmd hamshoulders hamclose hammoved hamrepeatfromstartseveral hamplus hamsymmlr hamfinger2345 hamthumboutmod hamextfingerol hampalmd hamshoulders hamclose hammover hamreplace hamextfingero hamnomotion hamplus hamparbegin hampinchall hamplus hamflathand hamparend hamparbegin hamextfingerl hambetween hamextfingero hampalml hamplus hamextfingerr hampalmr hamparend hamparbegin hamshouldertop hamlrat hamplus hamlrat hamshouldertop hamparend hamfingerplay hamplus hamsymmlr hamflathand hamthumboutmod hamextfingero hampalmd hamtouch hamshoulders hamclose hammover,beach,e000 e00c e020 e03d e04b e059 e0d0 e08c e0c6 e0d8 e0e7 e0e9 e010 e0c7 e0dd e005 e00c e028 e03c e051 e0d0 e084 e0d9 e0e7 e0e9 e005 e00c e028 e03c e051 e0d0 e082 e0aa e029 e0af e0e7 e0e2 e007 e0e7 e001 e0e3 e0e2 e026 e0e6 e029 e03e e0e7 e022 e03a e0e3 e0e2 e050 e059 e0e7 e059 e050 e0e3 e0a4 e0e7 e0e9 e001 e00c e029 e03c e0d1 e051 e0d0 e082
hamfinger2 hamthumbacrossmod hamextfingerul hampalml hamtongue hamtouch,beak,e002 e00d e027 e03e e04b e0d1
hamflathand hamthumboutmod hamextfingeru hampalml hamshoulders hamlrat hammovedl hamarcl hamfast hamlrat hamstomach hamreplace hamextfingerul,beat,e001 e00c e020 e03e e051 e059 e085 e0b9 e0c8 e059 e053 e0aa e027
hamparbegin hamfinger2345 hamthumboutmod hammiddlefinger hamfingerstraightmod hamplus hamfinger2345 hamthumboutmod hammiddlefinger hamfingerstraightmod hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingeror hampalmu hamparend hamparbegin hammiddlefinger hamfingerpad hamplus hammiddlefinger hamfingerpad hamparend hamclose hamshoulders hamclose hamnomotion hamplus hamparbegin hamfinger2345 hamthumboutmod hammiddlefinger hamfingerstraightmod hamplus hamfinger2345 hamthumboutmod hammiddlefinger hamfingerstraightmod hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingeror hampalmu hamparend hamparbegin hammiddlefinger hamfingertip hamplus hammiddlefinger hamfingertip hamparend hamtouch hamshoulders hamclose hammoveu hamfast hamrepeatfromstartseveral hamnomotion,been,e0e2 e005 e00c e072 e010 e0e7 e005 e00c e072 e010 e0e3 e0e2 e028 e03c e0e7 e02a e038 e0e3 e0e2 e072 e077 e0e7 e072 e077 e0e3 e0d0 e051 e0d0 e0af e0e7 e0e2 e005 e00c e072 e010 e0e7 e005 e00c e072 e010 e0e3 e0e2 e028 e03c e0e7 e02a e038 e0e3 e0e2 e072 e075 e0e7 e072 e075 e0e3 e0d1 e051 e0d0 e080 e0c8 e0d9 e0af
hamsymmlr hamfingerstraightmod hamlargemod hamalternatingmotion hamflathand hamthumboutmod hamextfingerl hambetween hamextfingerol hampalmu hamchest hamclose hammoveo hamrepeatfromstartseveral,behaviour,e0e9 e010 e0c7 e0dd e001 e00c e026 e0e6 e028 e038 e052 e0d0 e089 e0d9
hamflathand hamthumbacrossmod hamextfingeru hampalml hamlips hamlrat hamclose hamreplace hamflathand hamthumbacrossmod hamextfingeru hampalml hamcheek hamseqbegin hamtouch hamindexfinger hamseqend hamrepeatfromstart,belgium,e001 e00d e020 e03e e04a e059 e0d0 e0aa e001 e00d e020 e03e e049 e0e0 e0d1 e071 e0e1 e0d8
hamflathand hamextfingeru hambetween hamextfingerl hampalmdl hamforehead hamlrat hammovedo hamplus hamparbegin hamflathand hamplus hamflathand hamparend hamparbegin hamextfingeru hambetween hamextfingero hampalml hamplus hamextfingerr hampalmu hamparend hamparbegin hampinky hamfingerside hamplus hampalm hamparend hamtouch hamchest,belief,e001 e020 e0e6 e026 e03d e042 e059 e090 e0e7 e0e2 e001 e0e7 e001 e0e3 e0e2 e020 e0e6 e029 e03e e0e7 e022 e038 e0e3 e0e2 e074 e07a e0e7 e067 e0e3 e0d1 e052
hamfist hamthumbacrossmod hamextfingerl hampalml hamchest hamlrat hamparbegin hamreplace hamextfingero hamparend hamrepeatfromstartseveral,bell,e000 e00d e026 e03e e052 e059 e0e2 e0aa e029 e0e3 e0d9
hampinch12open hamthumbacrossmod hamextfingerl hampalmd hamshoulders hamclose hammoveu hamfast hamrepeatfromstartseveral,benefit,e008 e00d e026 e03c e051 e0d0 e080 e0c8 e0d9
hamsymmpar hamparbegin hamflathand hamthumboutmod hamfingerbendmod hamplus hamflathand hamthumboutmod hamfingerbendmod hamparend hamparbegin hamextfingerul hampalmr hamplus hamextfingerur hampalmr hamparend hamparbegin hampalm hamplus hampalm hamparend hamtouch hamshoulders hamclose hammoveo hamsmallmod hamrepeatfromstart hamnomotion hamplus hamfist hamthumboutmod hamextfingero hampalml hamshoulders hamlrat hamclose hammoveo hamrepeatfromstart,bestfriend,e0e8 e0e2 e001 e00c e011 e0e7 e001 e00c e011 e0e3 e0e2 e027 e03a e0e7 e021 e03a e0e3 e0e2 e067 e0e7 e067 e0e3 e0d1 e051 e0d0 e089 e0c6 e0d8 e0af e0e7 e000 e00c e029 e03e e051 e059 e0d0 e089 e0d8
hampinchall hamthumbacrossmod hamfingerstraightmod hamextfingeru hampalmd hamshouldertop hamlrat hamclose hamnomotion hamreplace hamextfingeru hampalmu,better,e007 e00d e010 e020 e03c e050 e059 e0d0 e0af e0aa e020 e038
hamparbegin hamfinger2345 hamthumboutmod hamplus hamfinger2345 hamthumboutmod hamparend hamparbegin hamextfingerdo hamplus hamextfingeruo hamparend hamparbegin hampalmd hamplus hampalmu hamparend hamparbegin hammiddlefinger hamfingertip hamplus hammiddlefinger hamfingertip hamparend hamtouch hammoveu hamsmallmod hamfast hammoved hamsmallmod hamfast hamrepeatfromstart,between,e0e2 e005 e00c e0e7 e005 e00c e0e3 e0e2 e030 e0e7 e031 e0e3 e0e2 e03c e0e7 e038 e0e3 e0e2 e072 e075 e0e7 e072 e075 e0e3 e0d1 e080 e0c6 e0c8 e084 e0c6 e0c8 e0d8
hamfist hamthumboutmod hamextfingeru hampalml hamear hamlrbeside hammovei,beyond,e000 e00c e020 e03e e047 e058 e08c
hamparbegin hampinchall hamthumbacrossmod hamplus hampinchall hamthumbacrossmod hamparend hamparbegin hamextfingeru hampalml hamplus hamextfingeru hampalmr hamparend hamparbegin hammiddlefinger hamfingertip hamplus hammiddlefinger hamfingertip hamparend hamtouch hamshoulders hamclose hamnomotion hamplus hamparbegin hamfist hampinky hamfingerbendmod hamplus hamfist hampinky hamfingerbendmod hamparend hamparbegin hamextfingero hambetween hamextfingerl hampalmd hamplus hamextfingero hampalmu hamparend hamparbegin hampinky hamfingermidjoint hampalm hamplus hampinky hamfingermidjoint hampalm hamparend hamtouch hamshoulders hamclose hamnomotion hamplus hamparbegin hamfinger2 hamthumbacrossmod hamfingerbendmod hamplus hamflathand hamthumboutmod hamparend hamparbegin hamextfingerl hampalml hamplus hamextfingero hampalmu hamparend hamparbegin hampalm hamplus hamindexfinger hamfingermidjoint hamparend hamtouch hamlrat hamshoulders hamclose hamnomotion hamplus hamfinger2 hamthumbacrossmod hamextfingerur hambetween hamextfingeru hampalml hamshouldertop hamclose hammoveur hamlargemod,bhubaneswar,e0e2 e007 e00d e0e7 e007 e00d e0e3 e0e2 e020 e03e e0e7 e020 e03a e0e3 e0e2 e072 e075 e0e7 e072 e075 e0e3 e0d1 e051 e0d0 e0af e0e7 e0e2 e000 e074 e011 e0e7 e000 e074 e011 e0e3 e0e2 e029 e0e6 e026 e03c e0e7 e029 e038 e0e3 e0e2 e074 e078 e067 e0e7 e074 e078 e067 e0e3 e0d1 e051 e0d0 e0af e0e7 e0e2 e002 e00d e011 e0e7 e001 e00c e0e3 e0e2 e026 e03e e0e7 e029 e038 e0e3 e0e2 e067 e0e7 e071 e078 e0e3 e0d1 e059 e051 e0d0 e0af e0e7 e002 e00d e021 e0e6 e020 e03e e050 e0d0 e081 e0c7
hamfinger2 hamthumbacrossmod hamfingerstraightmod hamextfingero hampalmd hamchest hamlrat hamclose hammoved hamplus hamsymmlr hamfingerstraightmod hamlargemod hamalternatingmotion hamflathand hamextfingero hampalmd hamshoulders hamclose hammoveu hamrepeatfromstart hamplus hamsymmlr hamflathand hamextfingero hampalmd hamshoulders hamclose hamplus hamparbegin hamcee12 hamfingerstraightmod hamthumbacrossmod hamplus hamflathand hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingero hampalmd hamparend hamparbegin hamindexfinger hamfingernail hamplus hamthumb hamfingernail hamparend hamtouch hamshoulders hamclose hamplus hamparbegin hamcee12 hamfingerstraightmod hamthumbacrossmod hamplus hamflathand hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingero hampalmd hamparend hamparbegin hamhandback hamplus hamindexfinger hamfingertip hamparend hamtouch hamshoulders hamclose hamplus hamsymmlr hamparbegin hamcee12 hamfingerstraightmod hamplus hamflathand hamparend hamparbegin hamextfingeru hampalml hamplus hamextfingero hampalmd hamparend hamparbegin hamthumb hamfingernail hamplus hamthumb hamfingertip hamparend hamclose hamshoulders hamclose hamplus hamsymmpar hamparbegin hamcee12 hamfingerstraightmod hamplus hamflathand hamparend hamparbegin hamextfingeru hampalml hamplus hamextfingero hampalmd hamparend hamparbegin hamthumb hamfingernail hamplus hamindexfinger hamfingerpad hamparend hamtouch hamshoulders hamclose hammoveo hamsmallmod hamrepeatfromstart hamplus hamparbegin hamcee12 hamfingerstraightmod hamplus hamflathand hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingero hampalmd hamparend hamparbegin hamthumb hamfingernail hamplus hamindexfinger hamfingerpad hamparend hamtouch hamshoulders hamclose hamreplace hamfinger23 hamthumbacrossmod hamextfingerl hampalml hammoveo hamreplace hamextfingero hampalml,bigtoe,e002 e00d e010 e029 e03c e052 e059 e0d0 e084 e0e7 e0e9 e010 e0c7 e0dd e001 e029 e03c e051 e0d0 e080 e0d8 e0e7 e0e9 e001 e029 e03c e051 e0d0 e0e7 e0e2 e009 e010 e00d e0e7 e001 e0e3 e0e2 e028 e03c e0e7 e029 e03c e0e3 e0e2 e071 e076 e0e7 e070 e076 e0e3 e0d1 e051 e0d0 e0e7 e0e2 e009 e010 e00d e0e7 e001 e0e3 e0e2 e028 e03c e0e7 e029 e03c e0e3 e0e2 e068 e0e7 e071 e075 e0e3 e0d1 e051 e0d0 e0e7 e0e9 e0e2 e009 e010 e0e7 e001 e0e3 e0e2 e020 e03e e0e7 e029 e03c e0e3 e0e2 e070 e076 e0e7 e070 e075 e0e3 e0d0 e051 e0d0 e0e7 e0e8 e0e2 e009 e010 e0e7 e001 e0e3 e0e2 e020 e03e e0e7 e029 e03c e0e3 e0e2 e070 e076 e0e7 e071 e077 e0e3 e0d1 e051 e0d0 e089 e0c6 e0d8 e0e7 e0e2 e009 e010 e0e7 e001 e0e3 e0e2 e028 e03c e0e7 e029 e03c e0e3 e0e2 e070 e076 e0e7 e071 e077 e0e3 e0d1 e051 e0d0 e0aa e003 e00d e026 e03e e089 e0aa e029 e03e
hamsymmpar hamfingerstraightmod hamlargemod hamalternatingmotion hamparbegin hamfinger2 hamthumboutmod hamplus hamfinger2 hamthumboutmod hamparend hamparbegin hamextfingeru hampalmd hamplus hamextfingeru hampalmd hamparend hamparbegin hampalm hamplus hamhandback hamparend hamclose hamshoulders hamclose hamcirclel hamrepeatfromstart hamnomotion hamplus hamparbegin hamfinger23spread hamthumbacrossmod hamplus hamfist hamparend hamparbegin hamextfingerol hambetween hamextfingeru hampalmu hamplus hamextfingerol hambetween hamextfingero hampalmu hamparend hamparbegin hampalm hamplus hammiddlefinger hamfingermidjoint hamhandback hamparend hamtouch hamshoulders hamclose hamnomotion hammovedr hamreplace hamfinger23 hamthumbacrossmod,bilingual,e0e8 e010 e0c7 e0dd e0e2 e002 e00c e0e7 e002 e00c e0e3 e0e2 e020 e03c e0e7 e020 e03c e0e3 e0e2 e067 e0e7 e068 e0e3 e0d0 e051 e0d0 e096 e0d8 e0af e0e7 e0e2 e004 e00d e0e7 e000 e0e3 e0e2 e028 e0e6 e020 e038 e0e7 e028 e0e6 e029 e038 e0e3 e0e2 e067 e0e7 e072 e078 e068 e0e3 e0d1 e051 e0d0 e0af e083 e0aa e003 e00d
hamsymmlr hamflathand hamthumboutmod hamextfingerl hampalml hamshouldertop hamclose hamplus hamsymmlr hamflathand hamthumboutmod hamextfingerl hampalml hamstomach hamclose hamplus hamsymmlr hamfingerstraightmod hamlargemod hamfist hamthumboutmod hamextfingerul hampalmd hamshoulders hamclose hammovei hamsmallmod hammoved hamsmallmod hamrepeatfromstart,biology,e0e9 e001 e00c e026 e03e e050 e0d0 e0e7 e0e9 e001 e00c e026 e03e e053 e0d0 e0e7 e0e9 e010 e0c7 e000 e00c e027 e03c e051 e0d0 e08c e0c6 e084 e0c6 e0d8
hamparbegin hamfist hamplus hamfist hamparend hamparbegin hamextfingerl hampalmd hamplus hamextfingero hambetween hamextfingerr hampalmd hamparend hamparbegin hamthumbball hamhandback hamplus hammiddlefinger hamfingernail hamparend hamtouch hamstomach,bit,e0e2 e000 e0e7 e000 e0e3 e0e2 e026 e03c e0e7 e029 e0e6 e022 e03c e0e3 e0e2 e066 e068 e0e7 e072 e076 e0e3 e0d1 e053
hamfinger2 hamthumbacrossmod hamextfingerul hampalmd hamhead hamlrat hamclose hammoved hamplus hamsymmlr hamfinger2 hamthumbacrossmod hamextfingerul hampalmdr hamtouch hamforehead hamclose hammover hamsmallmod hamreplace hamfinger2 hamthumbacrossmod hamextfingero hampalmd hammoved hamreplace hamfinger2 hamthumbacrossmod hamextfingerol hampalmd hamtouch hamchest hamclose,black_board,e002 e00d e027 e03c e040 e059 e0d0 e084 e0e7 e0e9 e002 e00d e027 e03b e0d1 e042 e0d0 e082 e0c6 e0aa e002 e00d e029 e03c e084 e0aa e002 e00d e028 e03c e0d1 e052 e0d0
hamfinger2 hamthumbacrossmod hamextfingerul hampalmd hamhead hamlrat hamclose hammoved hamplus hamsymmlr hamfinger2 hamthumbacrossmod hamextfingerul hampalmdr hamtouch hamforehead hamclose hammover hamsmallmod hamreplace hamfinger2 hamthumbacrossmod hamextfingero hampalmd hammoved hamreplace hamfinger2 hamthumbacrossmod hamextfingerol hampalmd hamtouch hamchest hamclose,blackboard,e002 e00d e027 e03c e040 e059 e0d0 e084 e0e7 e0e9 e002 e00d e027 e03b e0d1 e042 e0d0 e082 e0c6 e0aa e002 e00d e029 e03c e084 e0aa e002 e00d e028 e03c e0d1 e052 e0d0
hamfinger23spread hamthumbacrossmod hamextfingeru hampalmu hameyes hamclose hamnomotion hamplus hamsymmlr hamfinger2345 hamthumboutmod hamextfingero hampalmd hamshoulders hamclose hamfingerplay hammover hamslow hamnomotion hamplus hamparbegin hamfinger2 hamthumbacrossmod hamplus hamfinger2 hamthumbacrossmod hamparend hamparbegin hamextfingerl hampalmd hamplus hamextfingeru hampalmr hamparend hamparbegin hamindexfinger hamfingerside hamplus hamindexfinger hamfingerside hamparend hamtouch hamshoulders hamclose hamreplace hamfinger2 hamthumbacrossmod hamextfingeru hampalmu hamcheek hamlrat hamtouch hamnomotion hamplus hamceeall hamextfingeru hampalml hamcheek hamlrat hamclose hamplus hamceeall hamfingerstraightmod hamextfingeru hampalml hamneck hamlrat hamclose,blindness_and_low_vision,e004 e00d e020 e038 e044 e0d0 e0af e0e7 e0e9 e005 e00c e029 e03c e051 e0d0 e0a4 e082 e0c9 e0af e0e7 e0e2 e002 e00d e0e7 e002 e00d e0e3 e0e2 e026 e03c e0e7 e020 e03a e0e3 e0e2 e071 e07a e0e7 e071 e07a e0e3 e0d1 e051 e0d0 e0aa e002 e00d e020 e038 e049 e059 e0d1 e0af e0e7 e00a e020 e03e e049 e059 e0d0 e0e7 e00a e010 e020 e03e e04f e059 e0d0
hamfinger2 hamthumbacrossmod hamextfingerl hampalmd hamteeth hamtouch hammover hamsmallmod hamnomotion hamplus hamparbegin hamflathand hamplus hamfist hamparend hamparbegin hamextfingerol hambetween hamextfingerl hampalml hamplus hamextfingeror hampalmu hamparend hamparbegin hamwristback hamplus hammiddlefinger hamfingerpad hamparend hamclose hamlrbeside hamchest hamclose hammoveo hamplus hamsymmlr hamfist hamthumbacrossmod hamextfingeru hampalml hamshouldertop hamclose hamnomotion hammovel hamsmallmod hamfast hamrepeatfromstartseveral hamnomotion hamplus hamparbegin hamflathand hamfingerbendmod hamplus hamflathand hamthumboutmod hamparend hamparbegin hamextfingerol hampalmdr hamplus hamextfingeror hampalmu hamparend hamparbegin hampalm hamplus hamthumb hamfingernail hamparend hamclose hamshoulders hamclose hammoveor hamrepeatfromstart,blood_bank_refigerator,e002 e00d e026 e03c e04c e0d1 e082 e0c6 e0af e0e7 e0e2 e001 e0e7 e000 e0e3 e0e2 e028 e0e6 e026 e03e e0e7 e02a e038 e0e3 e0e2 e064 e0e7 e072 e077 e0e3 e0d0 e058 e052 e0d0 e089 e0e7 e0e9 e000 e00d e020 e03e e050 e0d0 e0af e086 e0c6 e0c8 e0d9 e0af e0e7 e0e2 e001 e011 e0e7 e001 e00c e0e3 e0e2 e028 e03b e0e7 e02a e038 e0e3 e0e2 e067 e0e7 e070 e076 e0e3 e0d0 e051 e0d0 e08a e0d8
hamfinger2 hamthumbacrossmod hamextfingeru hampalmd hamchest hamlrat hamnomotion hamreplace hamextfingeru hambetween hamextfingerl hampalmur hamreplace hamextfingeru hambetween hamextfingerr hampalmul,blue,e002 e00d e020 e03c e052 e059 e0af e0aa e020 e0e6 e026 e039 e0aa e020 e0e6 e022 e03f
hamparbegin hampinchall hamthumbacrossmod hamplus hamfinger2345 hamthumboutmod hamparend hamparbegin hamextfingero hampalmu hamplus hamextfingero hambetween hamextfingeru hampalmu hamparend hamparbegin hamshoulders hamlrat hamplus hamchest hamparend hamplus hamparbegin hamfinger2345 hamthumboutmod hamplus hampinchall hamthumbacrossmod hamparend hamparbegin hamextfingero hambetween hamextfingeru hampalmu hamplus hamextfingero hampalmu hamparend hamparbegin hamstomach hamplus hamlrat hamchest hamparend hamplus hamparbegin hampinchall hamthumbacrossmod hamplus hamfinger2345 hamthumboutmod hamparend hamparbegin hamextfingero hampalmu hamplus hamextfingero hambetween hamextfingeru hampalmu hamparend hamparbegin hamshoulders hamlrat hamplus hamchest hamparend hamplus hamparbegin hamfinger2345 hamthumboutmod hamplus hampinchall hamthumbacrossmod hamparend hamparbegin hamextfingero hambetween hamextfingeru hampalmu hamplus hamextfingero hampalmu hamparend hamparbegin hamstomach hamplus hamlrat hamchest hamparend,boil,e0e2 e007 e00d e0e7 e005 e00c e0e3 e0e2 e029 e038 e0e7 e029 e0e6 e020 e038 e0e3 e0e2 e051 e059 e0e7 e052 e0e3 e0e7 e0e2 e005 e00c e0e7 e007 e00d e0e3 e0e2 e029 e0e6 e020 e038 e0e7 e029 e038 e0e3 e0e2 e053 e0e7 e059 e052 e0e3 e0e7 e0e2 e007 e00d e0e7 e005 e00c e0e3 e0e2 e029 e038 e0e7 e029 e0e6 e020 e038 e0e3 e0e2 e051 e059 e0e7 e052 e0e3 e0e7 e0e2 e005 e00c e0e7 e007 e00d e0e3 e0e2 e029 e0e6 e020 e038 e0e7 e029 e038 e0e3 e0e2 e053 e0e7 e059 e052 e0e3
hamfinger2 hamthumbacrossmod hamfingerbendmod hamextfingeru hampalmu hamteeth hamtouch hamnomotion hamplus hamsymmpar hamparbegin hamflathand hammiddlefinger hamfingerbendmod hamplus hamfist hamthumbacrossmod hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingeror hampalmd hamparend hamparbegin hamthumbball hamplus hampalm hamparend hamtouch hamshoulders hamclose hammoveo hamsmallmod hamrepeatfromstart hamnomotion hamplus hamcee12 hamfingerbendmod hamextfingerl hampalmu hamchin hamtouch hamnomotion hamplus hamcee12 hamthumbacrossmod hamfingerbendmod hamextfingeru hampalmdl hamlips hamclose hammoveo hamsmallmod hammover hamsmallmod hammoveo hamsmallmod hammoved hamsmallmod hammoveo hamsmallmod,bone_cells,e002 e00d e011 e020 e038 e04c e0d1 e0af e0e7 e0e8 e0e2 e001 e072 e011 e0e7 e000 e00d e0e3 e0e2 e028 e03c e0e7 e02a e03c e0e3 e0e2 e066 e0e7 e067 e0e3 e0d1 e051 e0d0 e089 e0c6 e0d8 e0af e0e7 e009 e011 e026 e038 e04d e0d1 e0af e0e7 e009 e00d e011 e020 e03d e04a e0d0 e089 e0c6 e082 e0c6 e089 e0c6 e084 e0c6 e089 e0c6
hamsymmlr hamfinger2 hamthumbacrossmod hamextfingerul hampalmr hamtouch hamforehead hamclose hammover hamnomotion hamreplace hamextfingero hampalmd hamnomotion hammoved hamlargemod hamplus hamparbegin hamflathand hamthumboutmod hamplus hamflathand hamthumboutmod hamparend hamparbegin hamextfingeru hampalml hamplus hamextfingeru hampalmr hamparend hamparbegin hammiddlefinger hamfingerpad hamplus hammiddlefinger hamfingerpad hamparend hamtouch hamshoulders hamclose hamnomotion hamplus hamflathand hamextfingeru hampalml hamlrat hamforehead hamclose hammover hamsmallmod hammover hammover hamplus hamflathand hamthumboutmod hamextfingeru hampalml hamshoulders hamlrat hamclose hammovel hamlargemod hammover,bookcase,e0e9 e002 e00d e027 e03a e0d1 e042 e0d0 e082 e0af e0aa e029 e03c e0af e084 e0c7 e0e7 e0e2 e001 e00c e0e7 e001 e00c e0e3 e0e2 e020 e03e e0e7 e020 e03a e0e3 e0e2 e072 e077 e0e7 e072 e077 e0e3 e0d1 e051 e0d0 e0af e0e7 e001 e020 e03e e059 e042 e0d0 e082 e0c6 e082 e082 e0e7 e001 e00c e020 e03e e051 e059 e0d0 e086 e0c7 e082
hamparbegin hamflathand hamplus hamflathand hamparend hamparbegin hamextfingerl hampalmd hamplus hamextfingeru hampalmr hamparend hamparbegin hamlrat hamstomach hamplus hamlrbeside hamshouldertop hamparend hamnomotion hamplus hamparbegin hamflathand hamplus hamflathand hamparend hamparbegin hamextfingerl hampalmd hamplus hamextfingeru hampalmr hamparend hamparbegin hamlrat hamelbowinside hamplus hamlrbeside hamshouldertop hamparend hamnomotion,bottom,e0e2 e001 e0e7 e001 e0e3 e0e2 e026 e03c e0e7 e020 e03a e0e3 e0e2 e059 e053 e0e7 e058 e050 e0e3 e0af e0e7 e0e2 e001 e0e7 e001 e0e3 e0e2 e026 e03c e0e7 e020 e03a e0e3 e0e2 e059 e062 e0e7 e058 e050 e0e3 e0af
hamfinger2 hamfingerstraightmod hamthumbacrossmod hamextfingeru hampalml hamunderchin hamlrbeside hammovel hamsmallmod,boy,e002 e010 e00d e020 e03e e04e e058 e086 e0c6
hamsymmlr hamfinger2345 hamthumboutmod hamfingerbendmod hamextfingeru hampalml hamear hamtouch hamnomotion hamplus hamparbegin hamflathand hamthumboutmod hamfingerbendmod hamplus hamfist hamparend hamparbegin hamextfingerl hampalmd hamplus hamextfingero hampalmu hamparend hamparbegin hamthumbball hamplus hammiddlefinger hamfingerpad hamparend hamtouch,audiologist,e0e9 e005 e00c e011 e020 e03e e047 e0d1 e0af e0e7 e0e2 e001 e00c e011 e0e7 e000 e0e3 e0e2 e026 e03c e0e7 e029 e038 e0e3 e0e2 e066 e0e7 e072 e077 e0e3 e0d1
hamfinger2 hamthumbacrossmod hamextfingerl hampalmd hamear hamlrat hamtouch hammover hamsmallmod hamrepeatfromstart hamnomotion hamplus hamsymmlr hamlargemod hamfingerstraightmod hamalternatingmotion hamfist hamthumboutmod hamextfingerl hampalmr hamneck hamclose hammoved hamsmallmod hamrepeatfromstartseveral,audiology,e002 e00d e026 e03c e047 e059 e0d1 e082 e0c6 e0d8 e0af e0e7 e0e9 e0c7 e010 e0dd e000 e00c e026 e03a e04f e0d0 e084 e0c6 e0d9
hamsymmlr hamfinger2345 hamthumboutmod hamfingerbendmod hamextfingeru hampalml hamear hamtouch hamnomotion hamplus hamsymmlr hamfinger23 hamfingerhookmod hamextfingerol hambetween hamextfingero hampalml hambetween hampalmdl hamchest hamclose hamreplace hamfinger23 hamfingerhookmod hamextfingerol hampalmd hamplus hamsymmlr hamfinger23 hamfingerhookmod hamextfingerol hambetween hamextfingero hampalml hambetween hampalmdl hamreplace hamfinger23 hamfingerhookmod hamextfingerol hampalmd hamplus hamparbegin hamfinger23 hamfingerhookmod hamplus hamfinger23 hamfingerhookmod hamparend hamparbegin hamextfingerol hambetween hamextfingero hampalml hamplus hamextfingeror hambetween hamextfingero hampalmd hamparend hamparbegin hamchest hamlrat hamplus hamlrat hamchest hamparend hammover hamsmallmod hamplus hamparbegin hamfinger23 hamfingerhookmod hamplus hamfinger23 hamfingerhookmod hamparend hamparbegin hamextfingerol hambetween hamextfingero hampalmd hamplus hamextfingeror hambetween hamextfingero hampalmr hamparend hamparbegin hamchest hamlrat hamplus hamlrat hamchest hamparend,audiometer,e0e9 e005 e00c e011 e020 e03e e047 e0d1 e0af e0e7 e0e9 e003 e012 e028 e0e6 e029 e03e e0e6 e03d e052 e0d0 e0aa e003 e012 e028 e03c e0e7 e0e9 e003 e012 e028 e0e6 e029 e03e e0e6 e03d e0aa e003 e012 e028 e03c e0e7 e0e2 e003 e012 e0e7 e003 e012 e0e3 e0e2 e028 e0e6 e029 e03e e0e7 e02a e0e6 e029 e03c e0e3 e0e2 e052 e059 e0e7 e059 e052 e0e3 e082 e0c6 e0e7 e0e2 e003 e012 e0e7 e003 e012 e0e3 e0e2 e028 e0e6 e029 e03c e0e7 e02a e0e6 e029 e03a e0e3 e0e2 e052 e059 e0e7 e059 e052 e0e3
hamsymmlr hamfinger2345 hamthumboutmod hamextfingerdl hampalml hamchest hammoveui hammoveui hamlargemod,auditorium,e0e9 e005 e00c e025 e03e e052 e08e e08e e0c7
hamfinger2 hamthumbacrossmod hamextfingerul hampalmd hamnose hamlrat hamtouch hamnomotion hamplus hamcee12 hamfingerbendmod hamextfingeru hampalml hamunderchin hamtouch hamnomotion hammoveo,aunt,e002 e00d e027 e03c e045 e059 e0d1 e0af e0e7 e009 e011 e020 e03e e04e e0d1 e0af e089
hamfinger2345 hamthumboutmod hamextfingeru hampalmd hamshouldertop hamlrat hamcirclei hamlargemod,average,e005 e00c e020 e03c e050 e059 e093 e0c7
