ham,symbol,unicode
hamfinger2 hamthumbacrossmod hamfingerhookmod hamextfingeru hampalmu hamteeth hamtouch hamplus hamfinger2 hamthumbacrossmod hamfingerhookmod hamextfingeru hampalmd hamshouldertop hamlrat hamclose hamplus hamcee12 hamthumbacrossmod hamthumb hamfingerhookmod hamextfingerl hampalmd hamshoulders hamclose hamplus hamcee12 hamthumbacrossmod hamthumb hamfingerhookmod hamextfingeror hampalmu hamshouldertop hamlrat hamclose hamplus hamcee12 hamthumbacrossmod hamthumb hamfingerhookmod hamextfingerl hampalmd hamshoulders hamclose,Guard,e002 e00d e012 e020 e038 e04c e0d1 e0e7 e002 e00d e012 e020 e03c e050 e059 e0d0 e0e7 e009 e00d e070 e012 e026 e03c e051 e0d0 e0e7 e009 e00d e070 e012 e02a e038 e050 e059 e0d0 e0e7 e009 e00d e070 e012 e026 e03c e051 e0d0
hamfist hamextfingeru hampalmdl hamhead hamlrat hamclose hamcircleu hamplus hamfinger2345 hamthumboutmod hamextfingerul hampalml hamlips hamtouch hamplus hamfinger2345 hamfingerbendmod hamthumboutmod hamextfingerl hampalml hamstomach hamclose hamplus hamsymmlr hamparbegin hamflathand hamplus hamflathand hamparend hamparbegin hamextfingeru hampalml hamplus hamextfingeru hampalmr hamparend hamparbegin hammiddlefinger hamfingerpad hampalm hamplus hammiddlefinger hamfingerpad hampalm hamparend hamtouch hamlips hamclose,Guru_Nanak_Jayanti,e000 e020 e03d e040 e059 e0d0 e095 e0e7 e005 e00c e027 e03e e04a e0d1 e0e7 e005 e011 e00c e026 e03e e053 e0d0 e0e7 e0e9 e0e2 e001 e0e7 e001 e0e3 e0e2 e020 e03e e0e7 e020 e03a e0e3 e0e2 e072 e077 e067 e0e7 e072 e077 e067 e0e3 e0d1 e04a e0d0
hamsymmlr hampinch12open hamindexfinger hamfingerstraightmod hammiddlefinger hamfingerbendmod hamextfingeru hampalmdl hamshoulders hamclose hamplus hamsymmlr hamparbegin hamfinger2345 hamthumboutmod hamplus hamfinger2345 hamthumboutmod hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingerol hampalmdr hamparend hamchest hamclose,Hate,e0e9 e008 e071 e010 e072 e011 e020 e03d e051 e0d0 e0e7 e0e9 e0e2 e005 e00c e0e7 e005 e00c e0e3 e0e2 e028 e03c e0e7 e028 e03b e0e3 e052 e0d0
hamparbegin hamfinger2 hamthumbacrossmod hamfingerhookmod hamplus hamfinger2 hamthumbacrossmod hamparend hamparbegin hamextfingerol hambetween hamextfingerl hampalmd hamplus hamextfingeru hampalmr hamparend hamparbegin hamfingernail hamindexfinger hamplus hamfingermidjoint hamindexfinger hamparend hamtouch hamchest,K,e0e2 e002 e00d e012 e0e7 e002 e00d e0e3 e0e2 e028 e0e6 e026 e03c e0e7 e020 e03a e0e3 e0e2 e076 e071 e0e7 e078 e071 e0e3 e0d1 e052
hamflathand hamthumboutmod hamextfingerul hampalml hamteeth hamtouch hamplus hamparbegin hamfinger2345 hamthumboutmod hamplus hamfinger2345 hamthumboutmod hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingeror hampalmu hamparend hamparbegin hampalm hamplus hampalm hamparend hamtouch hammoveu hamsmallmod hamrepeatfromstart,Mahavir_Jayanti,e001 e00c e027 e03e e04c e0d1 e0e7 e0e2 e005 e00c e0e7 e005 e00c e0e3 e0e2 e028 e03c e0e7 e02a e038 e0e3 e0e2 e067 e0e7 e067 e0e3 e0d1 e080 e0c6 e0d8
hamparbegin hamfinger2 hamthumbacrossmod hamplus hamfinger2345 hamthumboutmod hamparend hamparbegin hamextfingerol hampalmdl hamplus hamextfingeror hampalmu hambetween hampalmr hamparend hamparbegin hamfingerpad hamringfinger hamplus hamfingertip hamindexfinger hamparend hamtouch hamchest hambetween hamlrat hamchest hamclose,O,e0e2 e002 e00d e0e7 e005 e00c e0e3 e0e2 e028 e03d e0e7 e02a e038 e0e6 e03a e0e3 e0e2 e077 e073 e0e7 e075 e071 e0e3 e0d1 e052 e0e6 e059 e052 e0d0
hamparbegin hampinch12open hamplus hamfinger2 hamthumbacrossmod hamparend hamparbegin hamextfingeru hampalml hamplus hamextfingeru hambetween hamextfingerur hampalmd hamparend hamparbegin hamindexfinger hamfingertip hamplus hamthumb hamindexfinger hamfingertip hamparend hamtouch hamshoulders hamclose,P,e0e2 e008 e0e7 e002 e00d e0e3 e0e2 e020 e03e e0e7 e020 e0e6 e021 e03c e0e3 e0e2 e071 e075 e0e7 e070 e071 e075 e0e3 e0d1 e051 e0d0
hamparbegin hamfinger2 hamfingerbendmod hamplus hampinch12open hamparend hamparbegin hamextfingeru hampalmd hambetween hampalmdl hamplus hamextfingeru hambetween hamextfingerr hampalmd hamparend hamparbegin hamfingerpad hamindexfinger hamplus hamfingermidjoint hamindexfinger hamparend hamtouch,Q,e0e2 e002 e011 e0e7 e008 e0e3 e0e2 e020 e03c e0e6 e03d e0e7 e020 e0e6 e022 e03c e0e3 e0e2 e077 e071 e0e7 e078 e071 e0e3 e0d1
hamfinger2 hamparbegin hamextfingerul hampalmd hamplus hamextfingerur hampalmd hamparend hamparbegin hamindexfinger hamfingermidjoint hamplus hamindexfinger hamfingermidjoint hamparend hamtouch,X,e002 e0e2 e027 e03c e0e7 e021 e03c e0e3 e0e2 e071 e078 e0e7 e071 e078 e0e3 e0d1
hamparbegin hamflathand hamthumboutmod hamfingerstraightmod hamplus hamflathand hamthumboutmod hamparend hamparbegin hamextfingeru hampalml hamplus hamextfingeru hambetween hamextfingeruo hampalmr hamparend hamparbegin hampalm hamplus hamfingertip hamindexfinger hammiddlefinger hamringfinger hampinky hamparend hamtouch hamchest hamclose,Z,e0e2 e001 e00c e010 e0e7 e001 e00c e0e3 e0e2 e020 e03e e0e7 e020 e0e6 e031 e03a e0e3 e0e2 e067 e0e7 e075 e071 e072 e073 e074 e0e3 e0d1 e052 e0d0
