__v,_id,ham,symbol,unicode
0,620275c703a2df5bb68995a3,hamparbegin hamflathand hamthumboutmod hamplus hamfinger2345 hamthumboutmod hamparend hamparbegin hamextfingero hampalml hamplus hamextfingeru hampalmu hamparend hamparbegin hamfingerpad hamringfinger hampinky hamplus hamfingerside hampinky hamparend hamtouch hammoveo hamrepeatfromstart,access,e0e2 e001 e00c e0e7 e005 e00c e0e3 e0e2 e029 e03e e0e7 e020 e038 e0e3 e0e2 e077 e073 e074 e0e7 e07a e074 e0e3 e0d1 e089 e0d8
0,620275c703a2df5bb68995a4,hamsymmlr hamfist hamthumbacrossmod hamparbegin hamextfingerol hamplus hamextfingero hamparend hamparbegin hampalml hamplus hampalmr hamparend hamchest hamparbegin hammoveol hamplus hammoveir hamlargemod hamparend,accident,e0e9 e000 e00d e0e2 e028 e0e7 e029 e0e3 e0e2 e03e e0e7 e03a e0e3 e052 e0e2 e088 e0e7 e08d e0c7 e0e3
0,620275c703a2df5bb68995a5,hamfinger2 hampinky hamextfingeru hampalml hamshouldertop hamlrat hammovedl hamlargemod hamlrat hambelowstomach,accuse,e002 e074 e020 e03e e050 e059 e085 e0c7 e059 e054
0,620275c703a2df5bb68995a6,hamsymmlr hamfist hamextfingerl hampalml hamshoulders hammovei hamarcl hamstomach hamreplace hamflathand hamthumboutmod hamextfingerl hampalml hamlrat hamneck hamtouch,achakan,e0e9 e000 e026 e03e e051 e08c e0b9 e053 e0aa e001 e00c e026 e03e e059 e04f e0d1
0,620275c703a2df5bb68995a7,hamparbegin hamflathand hamthumboutmod hamplus hamflathand hamthumboutmod hamparend hamparbegin hamextfingerol hamplus hamextfingeror hamparend hamparbegin hampalml hamplus hampalmd hamparend hammoveol hamarcu hamparbegin hampinkyside hamplus hamwristback hamparend hamclose,across,e0e2 e001 e00c e0e7 e001 e00c e0e3 e0e2 e028 e0e7 e02a e0e3 e0e2 e03e e0e7 e03c e0e3 e088 e0ba e0e2 e06a e0e7 e064 e0e3 e0d0
0,620275c703a2df5bb68995a8,hamsymmlr hamalternatingmotion hamfinger2345 hamthumboutmod hamextfingero hampalmd hamchest hammovei hamwavy,act,e0e9 e0dd e005 e00c e029 e03c e052 e08c e0bd
0,620275c703a2df5bb68995a9,hamsymmlr hamfinger2345 hamthumboutmod hamextfingeru hampalmd hamshoulders hamparbegin hamcirclei hamplus hamcircleo hamparend hamrepeatfromstartseveral,acting,e0e9 e005 e00c e020 e03c e051 e0e2 e093 e0e7 e092 e0e3 e0d9
0,620275c703a2df5bb68995aa,hamsymmlr hamparbegin hamfist hamplus hamfist hamparend hamparbegin hamextfingeru hampalmd hamplus hamextfingeru hampalmd hamparend hamshoulders hamclose hamparbegin hamcirclei hamplus hamcircleo hamparend hamrepeatfromstart,active,e0e9 e0e2 e000 e0e7 e000 e0e3 e0e2 e020 e03c e0e7 e020 e03c e0e3 e051 e0d0 e0e2 e093 e0e7 e092 e0e3 e0d8
0,620275c703a2df5bb68995ab,hamfinger2 hamthumboutmod hamfingerbendmod hamextfingerul hampalmdl hamnose hamfingerplay hamtouch hamreplace hamfinger2345 hamthumboutmod hamextfingero hampalmd hamchest hammovei hamwavy hamreplace hamfinger2 hamthumboutmod hamfingerbendmod hamextfingeruo hampalmdl hamchest hammoved hamstomach,actor,e002 e00c e011 e027 e03d e045 e0a4 e0d1 e0aa e005 e00c e029 e03c e052 e08c e0bd e0aa e002 e00c e011 e031 e03d e052 e084 e053
0,620275c703a2df5bb68995ac,hamfinger2 hamthumboutmod hamextfingerul hampalmdl hamnose hamtouch hamreplace hamfinger2345 hamthumboutmod hamextfingero hampalmd hamchest hammovei hamwavy hamreplace hamfinger2 hamthumboutmod hamfingerbendmod hamextfingeruo hampalmdl hamchest hammoved hamstomach,actress,e002 e00c e027 e03d e045 e0d1 e0aa e005 e00c e029 e03c e052 e08c e0bd e0aa e002 e00c e011 e031 e03d e052 e084 e053
0,620275c703a2df5bb68995ad,hamparbegin hamfinger2 hamthumbacrossmod hamplus hamfinger2 hamthumbacrossmod hamparend hamparbegin hamextfingeru hamplus hamextfingerr hamparend hamparbegin hampalmd hamplus hampalmr hamparend hamparbegin hamindexfinger hamfingermidjoint hamplus hamindexfinger hamfingermidjoint hamparend hamtouch hamswinging hamchest,add,e0e2 e002 e00d e0e7 e002 e00d e0e3 e0e2 e020 e0e7 e022 e0e3 e0e2 e03c e0e7 e03a e0e3 e0e2 e071 e078 e0e7 e071 e078 e0e3 e0d1 e0a6 e052
0,620275c703a2df5bb68995ae,hamfinger23spread hamthumbacrossmod hamextfingeru hampalml hambetween hampalmul hamchest hamclose hamparbegin hammovel hamarcu hamsmallmod hamreplace hamextfingerl hambetween hamextfingerdl hampalmdl hambetween hampalmd hamparend,additional,e004 e00d e020 e03e e0e6 e03f e052 e0d0 e0e2 e086 e0ba e0c6 e0aa e026 e0e6 e025 e03d e0e6 e03c e0e3
0,620275c703a2df5bb68995af,hamsymmpar hamparbegin hamfist hamthumboutmod hamplus hamflathand hamthumboutmod hamparend hamparbegin hamextfingerol hampalml hamplus hamextfingero hampalmu hamparend hamparbegin hampalm hamplus hampinkyside hamparend hamtouch hammoveo,advice,e0e8 e0e2 e000 e00c e0e7 e001 e00c e0e3 e0e2 e028 e03e e0e7 e029 e038 e0e3 e0e2 e067 e0e7 e06a e0e3 e0d1 e089
0,620275c703a2df5bb68995b0,hamsymmlr hamalternatingmotion hamflathand hamthumboutmod hamextfingerl hampalmul hamchest hammoveu hamwavy,advise,e0e9 e0dd e001 e00c e026 e03f e052 e080 e0bd
0,620275c703a2df5bb68995b1,hamfinger2 hamthumboutmod hampinky hamextfingeru hambetween hamextfingerol hampalmd hamneck hamlrat hamclose hamnomotion hammoveul hamlargemod,aeroplane,e002 e00c e074 e020 e0e6 e028 e03c e04f e059 e0d0 e0af e087 e0c7
0,620275c703a2df5bb68995b2,hamsymmlr hamfinger2345 hamthumboutmod hamextfingeru hampalmd hamclose hamchest hammovei,afraid,e0e9 e005 e00c e020 e03c e0d0 e052 e08c
0,620275c703a2df5bb68995b3,hamflathand hamthumboutmod hamextfingeru hampalmd hamcheek hamlrbeside hammoved hamarcr hamlargemod hamreplace hamfist hamextfingero hampalml hamchest,africa,e001 e00c e020 e03c e049 e058 e084 e0bb e0c7 e0aa e000 e029 e03e e052
0,620275c703a2df5bb68995b4,hamflathand hamextfingerl hampalmd hamchest hamparbegin hammoveo hamarcu hamreplace hampalmu hamparend,after,e001 e026 e03c e052 e0e2 e089 e0ba e0aa e038 e0e3
0,620275c703a2df5bb68995b5,hamfinger2345 hamthumboutmod hamextfingeru hampalml hamshouldertop hamlrbeside hambetween hamear hamlrat hamclose hamseqbegin hammoveur hammovedl hamseqend hamrepeatfromstart,afternoon,e005 e00c e020 e03e e050 e058 e0e6 e047 e059 e0d0 e0e0 e081 e085 e0e1 e0d8
0,620275c703a2df5bb68995b6,hamfinger2 hamextfingerr hampalmu hamchest hamlrat hamparbegin hammovel hamarcu hamlargemod hamreplace hampinch12open hammiddlefinger hamindexfinger hamdoublebent hamringfinger hamdoublehooked hampinky hamdoublehooked hamextfingeru hampalml hamparend,again,e002 e022 e038 e052 e059 e0e2 e086 e0ba e0c7 e0aa e008 e072 e071 e013 e073 e014 e074 e014 e020 e03e e0e3
0,620275c703a2df5bb68995b7,hamfist hamthumbacrossmod hamextfingerl hambetween hamextfingerol hampalml hambetween hampalmul hamunderchin hamreplace hamextfingerl hampalml hamunderchin,age,e000 e00d e026 e0e6 e028 e03e e0e6 e03f e04e e0aa e026 e03e e04e
0,620275c703a2df5bb68995b8,hamfinger2 hamextfingerl hampalmd hamforehead hamlrat hamtouch hamplus hamparbegin hamfinger2 hamplus hamfinger2 hamparend hamparbegin hamextfingerl hampalmd hamplus hamextfingerur hampalmdr hamparend hamparbegin hamindexfinger hamfingertip hamplus hamindexfinger hamfingertip hamparend hamtouch hamshoulders,agree,e002 e026 e03c e042 e059 e0d1 e0e7 e0e2 e002 e0e7 e002 e0e3 e0e2 e026 e03c e0e7 e021 e03b e0e3 e0e2 e071 e075 e0e7 e071 e075 e0e3 e0d1 e051
0,620275c703a2df5bb68995b9,hamflathand hamthumboutmod hamextfingerul hampalmdl hamchin hamlrbeside hamcircleur hamclose,alive,e001 e00c e027 e03d e04d e058 e09a e0d0
0,620275c703a2df5bb68995ba,hamsymmpar hamfist hamthumboutmod hamextfingeru hampalmd hamtouch hamchest hamnomotion hamplus hamflathand hamextfingero hampalmd hamchest hamcircled,all,e0e8 e000 e00c e020 e03c e0d1 e052 e0af e0e7 e001 e029 e03c e052 e094
0,620275c703a2df5bb68995bb,hamsymmpar hamflathand hamthumboutmod hamextfingeru hampalmdl hamearlobe hamparbegin hamreplace hampalmu hamparbegin hampinkyside hamplus hampinkyside hamparend hamtouch hamshoulders hamparend,allah,e0e8 e001 e00c e020 e03d e048 e0e2 e0aa e038 e0e2 e06a e0e7 e06a e0e3 e0d1 e051 e0e3
0,620275c703a2df5bb68995bc,hamfinger2 hamthumbacrossmod hamextfingeru hampalmd hamshoulders hamclose hamparbegin hamreplace hamextfingerol hamstomach hamparend,all day,e002 e00d e020 e03c e051 e0d0 e0e2 e0aa e028 e053 e0e3
0,620275c703a2df5bb68995bd,hamfinger2345 hamthumboutmod hamextfingeru hampalmd hamshoulders hamclose hamcirclei hamlargemod,all over,e005 e00c e020 e03c e051 e0d0 e093 e0c7
0,620275c703a2df5bb68995be,hamfinger2 hamextfingerl hampalml hamlips hamtouch hamparbegin hammoveo hamarcd hamreplace hamextfingeru hampalmd hamparend,allow,e002 e026 e03e e04a e0d1 e0e2 e089 e0bc e0aa e020 e03c e0e3
0,620275c703a2df5bb68995bf,hamfist hamextfingerol hampalmdr hamchest hamparbegin hamreplace hamextfingero hampalmul hamparend,almirah,e000 e028 e03b e052 e0e2 e0aa e029 e03f e0e3
0,620275c703a2df5bb68995c0,hamfinger2 hamthumbacrossmod hamextfingeru hampalmu hamshouldertop hamlrat hamcircleu hammoveo hamsmallmod,alone,e002 e00d e020 e038 e050 e059 e095 e089 e0c6
0,620275c703a2df5bb68995c1,hamfinger2 hamthumbacrossmod hamextfingerl hampalml hamchest hamcircleo hamsmallmod hamfast hamrepeatcontinueseveral,always,e002 e00d e026 e03e e052 e092 e0c6 e0c8 e0db
0,620275c703a2df5bb68995c2,hamparbegin hamflathand hamplus hamfist hamparend hamparbegin hamextfingerol hamplus hamextfingeror hamparend hampalmd hamparbegin hamwristback hamplus hampalm hamparend hamtouch hamparbegin hamreplace hamfist hamextfingero hampalmul hamparend hammoveo hamwavy hamsmallmod hamparbegin hamreplace hamfinger2345 hamextfingeru hampalml hamcheek hamlrbeside hamparend hamparbegin hamreplace hampinch12 hamparend hamparbegin hamreplace hamfinger2345 hamparend hamparbegin hamreplace hampinch12 hamparend,ambulance,e0e2 e001 e0e7 e000 e0e3 e0e2 e028 e0e7 e02a e0e3 e03c e0e2 e064 e0e7 e067 e0e3 e0d1 e0e2 e0aa e000 e029 e03f e0e3 e089 e0bd e0c6 e0e2 e0aa e005 e020 e03e e049 e058 e0e3 e0e2 e0aa e006 e0e3 e0e2 e0aa e005 e0e3 e0e2 e0aa e006 e0e3
0,620275c703a2df5bb68995c3,hamsymmlr hamfingerstraightmod hamalternatingmotion hamfinger2345 hamthumboutmod hamextfingerul hampalmdl hamparbegin hamfingertip hamindexfinger hammiddlefinger hamringfinger hampinky hamplus hamfingertip hamindexfinger hammiddlefinger hamringfinger hampinky hamparend haminterlock hamshoulders hamcircleu hamellipseh haminterlock hamalternatingmotion,america,e0e9 e010 e0dd e005 e00c e027 e03d e0e2 e075 e071 e072 e073 e074 e0e7 e075 e071 e072 e073 e074 e0e3 e0d2 e051 e095 e0c0 e0d2 e0dd
0,620275c703a2df5bb68995c4,hamparbegin hamfinger2 hamplus hamflathand hamthumboutmod hamparend hamparbegin hamextfingerd hamplus hamextfingerr hamparend hamparbegin hampalmd hamplus hampalmu hamparend hamparbegin hampalm hamplus hamfingertip hamindexfinger hamparend hamclose hamcircleo hammoved hamsmallmod,among,e0e2 e002 e0e7 e001 e00c e0e3 e0e2 e024 e0e7 e022 e0e3 e0e2 e03c e0e7 e038 e0e3 e0e2 e067 e0e7 e075 e071 e0e3 e0d0 e092 e084 e0c6
0,620275c703a2df5bb68995c5,hamsymmlr hamflathand hamthumboutmod hamfingerstraightmod hamextfingeru hampalml hamshouldertop hammover,angel,e0e9 e001 e00c e010 e020 e03e e050 e082
